CustomerID,Count,ReceivedDate,ResolvedDate,DaysToResolve,Category,Decision,Month,Year,Resolved Time (Weeks)
10158249,1,16/01/2022,09/03/2022,52,Irresponsible lending,Rejected,1,2022,7.4
20048289,1,09/03/2022,03/05/2022,55,Irresponsible lending,Rejected,3,2022,7.9
20036727,1,14/03/2022,09/05/2022,56,Irresponsible lending,Rejected,3,2022,8.0
20021886,1,19/03/2022,09/05/2022,51,Irresponsible lending,Rejected,3,2022,7.3
20062257,1,30/03/2022,24/05/2022,55,Irresponsible lending,Rejected,3,2022,7.9
20106560,1,30/03/2022,30/03/2022,0,Service Issue,Rejected,3,2022,0.0
10227641,1,05/04/2022,05/04/2022,0,Application process,Rejected,4,2022,0.0
20067925,1,14/04/2022,20/04/2022,6,Service Issue,Rejected,4,2022,0.9
20048407,1,15/04/2022,15/04/2022,0,Service Issue,Rejected,4,2022,0.0
20101216,1,15/04/2022,10/06/2022,56,Irresponsible lending,Rejected,4,2022,8.0
20161540,1,15/04/2022,10/06/2022,56,Service Issue,Rejected,4,2022,8.0
20205722,1,16/04/2022,13/06/2022,58,Irresponsible lending,Rejected,4,2022,8.3
20124133,1,18/04/2022,13/06/2022,56,Irresponsible lending,Rejected,4,2022,8.0
10150614,1,19/04/2022,14/06/2022,56,Irresponsible lending,Rejected,4,2022,8.0
20367817,1,21/04/2022,16/06/2022,56,Irresponsible lending,Rejected,4,2022,8.0
10142535,1,22/04/2022,16/06/2022,55,Irresponsible lending,Rejected,4,2022,7.9
10151280,1,22/04/2022,27/05/2022,35,Irresponsible lending,Rejected,4,2022,5.0
20022081,1,25/04/2022,16/06/2022,52,Irresponsible lending,Rejected,4,2022,7.4
20031086,1,28/04/2022,24/06/2022,57,Irresponsible lending,Rejected,4,2022,8.1
20002120,1,30/04/2022,24/06/2022,55,Irresponsible lending,Rejected,4,2022,7.9
20104118,1,02/05/2022,,,Subject Access Request,,5,2022,0.0
