CustomerID,Count,AppID,FundedAppCount,TierName,Stage,StageDate,PaymentStatus,FundedDate,LastPaymentDate,IssuedAmount,TotalDue,Payment
24508549,1,540457,1,Flux CPF,Payment Plan,07/05/2025,Payment Plan,31/05/2024,27/02/2025,"£1,000",£382,"£1,618"
24805465,1,723834,1,Nouveau 3-15,Funds Sent,02/01/2025,Paying,02/01/2025,30/05/2025,"£1,000",£379,"£1,537"
25705962,1,688314,1,TDOTUK CPF,Funds Sent,20/11/2024,Paying,20/11/2024,23/05/2025,£800,£81,"£1,297"
20024777,1,224760,1,Nouveau 3-15,Payment Plan,20/05/2025,Payment Plan,31/01/2023,28/03/2025,£350,£245,"£1,285"
25853834,1,723047,1,Flux CPF,Funds Sent,02/01/2025,Paying,02/01/2025,27/05/2025,£800,£217,"£1,282"
22765368,1,439249,1,Organic,Payment Plan,10/09/2024,Payment Plan,05/01/2024,23/05/2025,£700,£144,"£1,256"
25981492,1,754872,1,TDOTUK 10,Funds Sent,10/02/2025,Paying,10/02/2025,30/05/2025,"£1,000",£467,"£1,229"
20085638,1,124115,1,Nouveau 7-30,Bankruptcy/IVA,12/05/2023,Payment Plan DMP/IVA,29/04/2022,16/12/2022,£500,£131,"£1,219"
24290400,1,757485,2,Repeat,Funds Sent,13/02/2025,Paying,13/02/2025,30/05/2025,"£1,000",£467,"£1,181"
25509969,1,646129,1,TDOTUK 9,Bankruptcy/IVA,24/05/2025,Payment Plan DMP/IVA,01/10/2024,07/01/2025,"£1,000",£848,"£1,152"
20856700,1,158311,1,Nouveau 5-50,External Collections – Payment Plan,03/02/2025,Payment Plan,14/08/2022,02/06/2025,£650,£152,"£1,148"
25335113,1,726198,1,Organic,Funds Sent,05/01/2025,Paying,05/01/2025,30/05/2025,£700,£186,"£1,124"
20327333,1,129515,1,Nouveau 7-30,External Collections – Expired,10/06/2024,Partially Paid,19/05/2022,04/11/2022,£700,£281,"£1,119"
23686496,1,754759,2,Repeat,Collections,30/05/2025,Partially Paid,10/02/2025,31/05/2025,"£1,000",£530,"£1,117"
25315905,1,754592,1,Organic,Funds Sent,10/02/2025,Paying,10/02/2025,30/05/2025,£500,£234,"£1,114"
20228804,1,179527,1,TDOTUK 8-50,Payment Plan,08/11/2024,Payment Plan,17/10/2022,25/04/2025,£600,£110,"£1,090"
20038531,1,300430,2,LeadAffinity 6-50,External Collections – Expired,24/02/2025,Partially Paid,13/06/2023,12/01/2024,£600,£111,"£1,089"
10139662,1,108752,1,Allthelenders 13-75,External Collections – Payment Plan,30/10/2023,Payment Plan,17/02/2022,27/05/2025,£600,£120,"£1,080"
21446147,1,438210,1,Flux CPF,Payment Plan,02/10/2024,Payment Plan,05/01/2024,30/05/2025,£500,£312,"£1,080"
20073312,1,116018,2,Repeat,Debt Management Plan,29/04/2022,Payment Plan DMP/IVA,25/03/2022,23/05/2025,£600,£48,"£1,077"
24112645,1,571286,1,StopGo 1-05,Funds Sent,04/07/2024,Paying,04/07/2024,14/04/2025,£450,£88,"£1,076"
24845712,1,725470,2,Repeat,Funds Sent,06/01/2025,Paying,06/01/2025,23/05/2025,£700,£191,"£1,067"
20446068,1,200187,1,TDOTUK 3-50,Payment Plan,19/10/2023,Payment Plan,07/12/2022,03/06/2025,£650,£240,"£1,060"
20197122,1,314109,2,Repeat,Collections Review,19/03/2025,Partially Paid,03/07/2023,11/11/2024,£600,£154,"£1,046"
20010792,1,289128,3,Repeat,Debt Management Plan,10/12/2023,Payment Plan DMP/IVA,28/05/2023,02/06/2025,£700,£355,"£1,045"
21527662,1,735732,2,Repeat,Funds Sent,16/01/2025,Paying,16/01/2025,30/05/2025,£700,£184,"£1,026"
23817775,1,721870,3,Repeat,Funds Sent,02/01/2025,Paying,02/01/2025,25/04/2025,£800,£500,"£1,026"
25952679,1,772592,1,TDOTUK 10,Funds Sent,06/03/2025,Paying,06/03/2025,30/05/2025,"£1,000",£591,"£1,012"
20690945,1,353747,2,TDOTUK 3-50,Payment Plan,29/12/2024,Payment Plan,31/08/2023,28/05/2025,£400,£189,"£1,011"
24677303,1,536735,1,Nouveau 3-15,Payment Plan,09/08/2024,Payment Plan,20/05/2024,15/05/2025,£600,£200,"£1,000"
23369823,1,419464,1,TDOTUK 9,Payment Plan,23/01/2025,Payment Plan,07/12/2023,27/05/2025,£500,£4,£996
25049085,1,573355,1,TDOTUK 3-50,External Collections – Payment Plan,27/05/2025,Payment Plan,07/07/2024,27/05/2025,£600,£206,£994
20701061,1,168872,1,Nouveau 7-30,External Collections – Expired,26/08/2024,Partially Paid,14/09/2022,03/03/2023,£500,£950,£988
22508233,1,723587,3,TDOTUK 5-85,Funds Sent,02/01/2025,Paying,02/01/2025,30/05/2025,£600,£158,£985
23855875,1,723841,2,Repeat,Funds Sent,02/01/2025,Paying,02/01/2025,30/05/2025,£600,£158,£985
